chmod|int|const char *,pathname,mode_t,mode|-1|EACCES,EFAULT,EIO,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR,EPERM,EROFS
fchmod|int|int,fd,mode_t,mode|-1|EBADF,EIO,EPERM,EROFS
fchmodat|int|int,dirfd,const char *,pathname,mode_t,mode,int,flags|-1|EACCES,EFAULT,EIO,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR,EPERM,EROFS,EINVAL,EBADF

getgrnam|struct group *|const char *,name|NULL|ENOENT,ESRCH,EBADF,EPERM,EINTR,EIO,EMFILE,ENFILE,ENOMEM,ERANGE
getgrgid|struct group *|gid_t,gid|NULL|ENOENT,ESRCH,EBADF,EPERM,EINTR,EIO,EMFILE,ENFILE,ENOMEM,ERANGE
getpwnam|struct passwd *|const char *,name|NULL|ENOENT,ESRCH,EBADF,EPERM,EINTR,EIO,EMFILE,ENFILE,ENOMEM,ERANGE
getpwuid|struct passwd *|uid_t,uid|NULL|ENOENT,ESRCH,EBADF,EPERM,EINTR,EIO,EMFILE,ENFILE,ENOMEM,ERANGE

# getgrent
# setgrent
# endgrent

kill|int|pid_t,pid,int,sig|-1|EINVAL,EPERM,ESRCH
nice|int|int,inc|-1|EPERM

# renameatu|int|int,fd1,char const *,src,int,fd2,char const *,dst,unsigned int,flags|-1|EACCES,EBUSY,EDQUOT,EFAULT,EINVAL,EISDIR,ELOOP,EMLINK,ENAMETOOLONG,ENOENT,ENOMEM,ENOSPC,ENOTDIR,ENOTEMPTY,EEXIST,EPERM,EROFS,EXDEV
# full_write|size_t|int,fd,const void *,buf,size_t,count|-1|EAGAIN,EBADF,EDESTADDRREQ,EDQUOT,EFAULT,EFBIG,EINVAL,EIO,ENOSPC,EPERM,ESPIPE
# safe_read|size_t|int,fd,void *,buf,size_t,count|SAFE_READ_ERROR|EAGAIN,EBADF,EFAULT,EINVAL,EIO,EISDIR
# creat_safer|int|const char *,pathname,mode_t,mode|-1|EACCES,EEXIST,EFAULT,EINTR,EINVAL,EISDIR,ELOOP,ENAMETOOLONG,ENFILE,ENOENT,ENOSPC,ENOTDIR,EOVERFLOW,EPERM
# fopen_safer|FILE *|const char *,path,const char *,mode|NULL|ENOMEM,EACCES,EEXIST,EFAULT,EINTR,EINVAL,EISDIR,ELOOP,ENAMETOOLONG,ENFILE,ENOENT,ENOSPC,ENOTDIR,EOVERFLOW,EPERM
# freopen_safer|FILE *|const char *,path,const char *,mode, FILE *,stream|NULL|ENOMEM,EACCES,EEXIST,EFAULT,EINTR,EINVAL,EISDIR,ELOOP,ENAMETOOLONG,ENFILE,ENOENT,ENOSPC,ENOTDIR,EOVERFLOW,EPERM
